Version,VersionName,Package,LCOM( badness ratio),I,CBO (median aggreg),MPC,v(G)tot,RFC (median aggreg),D,C,METH,LOC,TCOM_RAT,Jc,E
4,4_nightly-47c3f74,artofillusion.view,65.27,0.94,7,11,652,8,2097,32,184,4496,6.21,88.46,49296537
5,5_3.1.0,artofillusion.animation,52,0.76,12,41,3050,31,8660,120,1131,16853,6.09,94,75640128
5,5_3.1.0,artofillusion.image,64.5,0.57,9,42,1037,25,3201,40,374,6399,5.28,83,26133975
5,5_3.1.0,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
5,5_3.1.0,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
5,5_3.1.0,artofillusion.math,40,0,8,11,485,15,1367,18,222,3083,6.9,93.75,9824479
5,5_3.1.0,artofillusion.object,70,0.4,19,26,3200,39,8080,76,1029,17129,4.3,82.69,255087096
5,5_3.1.0,artofillusion.procedural,19.7,0.72,8,16,1993,15,5593,100,682,10993,8.47,64.94,41881224
5,5_3.1.0,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
5,5_3.1.0,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
5,5_3.1.0,artofillusion.ui,63.4,0.06,9,12,1085,10,2565,67,449,6564,6.49,92.98,16014871
5,5_3.1.0,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
5,5_3.1.0,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
5,5_3.1.0,artofillusion.view,65.27,0.94,7,11,647,8,2087,32,184,4490,6.15,88.46,49295402
6,6_nightly-2020-06-25,artofillusion.animation,52,0.76,12,41,3084,31,8740,120,1133,17045,6.26,94,78211098
6,6_nightly-2020-06-25,artofillusion.image,64.5,0.57,9,42,1037,25,3201,40,374,6399,5.28,83,26133957
6,6_nightly-2020-06-25,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
6,6_nightly-2020-06-25,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
6,6_nightly-2020-06-25,artofillusion.math,40,0,8,11,485,15,1367,18,222,3084,6.93,93.75,9824479
6,6_nightly-2020-06-25,artofillusion.object,70,0.39,19,26,3197,39,8074,76,1030,17183,4.3,82.69,254859238
6,6_nightly-2020-06-25,artofillusion.procedural,19.7,0.72,8,16,1993,15,5591,100,682,11051,9.04,64.94,41764636
6,6_nightly-2020-06-25,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
6,6_nightly-2020-06-25,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
6,6_nightly-2020-06-25,artofillusion.ui,63.4,0.06,9,12,1123,10,2626,67,454,6752,6.52,92.98,18935087
6,6_nightly-2020-06-25,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
6,6_nightly-2020-06-25,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
6,6_nightly-2020-06-25,artofillusion.view,66.67,0.94,7,5,661,9,2163,33,185,4480,5.07,85.19,49604074
7,7_3.2.0,artofillusion.animation,52,0.76,12,41,3086,31,8747,120,1133,17052,6.26,94,78294485
7,7_3.2.0,artofillusion.image,64.5,0.57,9,42,1030,25,3178,40,373,6372,5.39,83,25725555
7,7_3.2.0,artofillusion.keystroke,20,0.81,5,8,73,18,22,7,43,615,6.4,100,415472
7,7_3.2.0,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
7,7_3.2.0,artofillusion.math,40,0,8,11,485,15,1367,18,222,3084,6.93,93.75,9824479
7,7_3.2.0,artofillusion.object,70,0.39,19,26,3197,39,8070,76,1030,17184,4.31,82.69,254762596
7,7_3.2.0,artofillusion.procedural,19.7,0.72,8,16,1993,15,5591,100,682,11051,9.04,64.94,41764636
7,7_3.2.0,artofillusion.script,35.71,0.85,7,19,244,17,852,22,126,1699,6.72,94.12,2748162
7,7_3.2.0,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
7,7_3.2.0,artofillusion.ui,63.4,0.06,9,12,1123,10,2626,67,454,6753,6.51,92.98,18936410
7,7_3.2.0,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
7,7_3.2.0,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
7,7_3.2.0,artofillusion.view,66.67,0.94,7,5,661,9,2163,33,185,4480,5.07,85.19,49604074
